73	h5nc	4C															
Comment	Index	UserID	ChargeBullet	SIID	TimeMod	Flag	Power	DeleteTime	Arrange	Angle	AddAngle	Speed	AccelSpeed	Scale	Xbias	Ybias	SE
-	0	0	0	SI_PlayerBullet_00_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	1	0	0	SI_PlayerBullet_00_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	2	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	1	-800	0	8	0	1	0	0	0
-	3	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	2	800	0	8	0	1	0	0	0
-	4	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	3	-1600	0	8	0	1	0	0	0
-	5	0	1	SI_PlayerBullet_00_1_0	1	1736	30	0	4	1600	0	8	0	1	0	0	0
-	6	1	0	SI_PlayerBullet_01_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	7	1	0	SI_PlayerBullet_01_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	8	1	1	SI_PlayerBullet_01_1_0	1	41	1	0	1	0	0	1	0	8	0	16	60
-	14	2	0	SI_PlayerBullet_02_0_0	4	700	8	0	0	0	0	18	0	1	10	15	60
-	15	2	0	SI_PlayerBullet_02_0_0	4	700	8	0	0	0	0	18	0	1	-10	15	60
-	16	2	1	SI_PlayerBullet_02_1_0	6	726	8	0	1	0	0	18	0	2.5	0	16	60
-	17	3	0	SI_PlayerBullet_03_0_0	4	600	8	0	0	0	0	18	0	1	10	15	60
-	18	3	0	SI_PlayerBullet_03_0_0	4	600	8	0	0	0	0	18	0	1	-10	15	60
-	19	4	0	SI_PlayerBullet_04_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	20	4	0	SI_PlayerBullet_04_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	21	4	1	SI_PlayerBullet_04_1_0	4	400	7	0	1	-100	0	18	0	1	0	16	60
-	22	4	1	SI_PlayerBullet_04_1_0	4	400	7	0	2	100	0	18	0	1	0	16	60
-	23	5	0	SI_PlayerBullet_05_0_0	4	1500	8	0	0	0	0	18	0	1	10	15	60
-	24	5	0	SI_PlayerBullet_05_0_0	4	1500	8	0	0	0	0	18	0	1	-10	15	60
-	25	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	0	150	3	0.1	1	0	0	60
-	26	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	0	-150	3	0.1	1	0	0	60
-	27	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	4500	150	3	0.1	1	0	0	60
-	28	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	4500	-150	3	0.1	1	0	0	60
-	29	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	9000	150	3	0.1	1	0	0	60
-	30	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	9000	-150	3	0.1	1	0	0	60
-	31	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	13500	150	3	0.1	1	0	0	60
-	32	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	13500	-150	3	0.1	1	0	0	60
-	33	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	18000	150	3	0.1	1	0	0	60
-	34	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	18000	-150	3	0.1	1	0	0	60
-	35	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	22500	150	3	0.1	1	0	0	60
-	36	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	22500	-150	3	0.1	1	0	0	60
-	37	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	27000	150	3	0.1	1	0	0	60
-	38	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	27000	-150	3	0.1	1	0	0	60
-	39	5	1	SI_PlayerBullet_05_1_0	8	1500	20	180	1	31500	150	3	0.1	1	0	0	60
-	40	5	1	SI_PlayerBullet_05_1_1	8	1500	20	180	1	31500	-150	3	0.1	1	0	0	60
-	41	22	0	SI_PlayerBullet_22_0_0	4	1710	8	0	0	0	0	18	0	1	10	15	60
-	42	22	0	SI_PlayerBullet_22_0_0	4	1710	8	0	0	0	0	18	0	1	-10	15	60
-	43	22	1	SI_PlayerBullet_22_1_0	8	1600	8	0	1	0	0	12	0.1	1	0	0	60
-	44	22	1	SI_PlayerBullet_22_2_0	8	1D00	8	0	2	-1600	0	12	0.1	1	0	0	60
-	45	22	1	SI_PlayerBullet_22_2_0	8	1D00	8	0	3	1600	0	12	0.1	1	0	0	60
